"","cm1","author","year","species","spec","region","site","recovery","acc","exp.dur","s1","n1","c.temp","c.pco2","am3","s3","n3","a.pco2","wm4","s4","n4","w.temp","m6","s6","n6","i.temp","i.pco2","cite","days","Feeding","Seawater","p.mag","t.mag","calc_method","irradiance","yi.w","vi.w","yi.a","vi.a","sd1","sd3","sd4","sd6","Sa","Sw","Si","lnRRa","lnRRt","yi.i","vi.i"
"20",0.739130435,"Albright",2011,"Porites astreoides","PAST","Florida Keys","Little Grecian, Key Largo",NA,NA,"49 d",0.075514874,38,28,380,0.482837529,0.066361556,29,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Albright 2011",49,"ND","N",420,NA,"O",NA,NA,NA,-3.56361912652276,0.155650611409713,0.465504946718038,0.357367915917886,NA,NA,0.10053035516687,NA,NA,-2.54940814219328,NA,NA,NA
"42",4.9,"Bedwell-Ivers",2017,"Porites divaricata","PDIV","Little Cayman","Little Cayman",NA,"5 d","28 d",0.494117647,5,30,487,3.541176471,0.329411765,5,791,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bedwell-Ivers 2017",28,"ND","N",304,NA,"BW",800,NA,NA,-2.92107236667312,0.906286414383612,1.10488064757424,0.736587099128186,NA,NA,0.593855504308272,NA,NA,-2.28813830829567,NA,NA,NA
"43",11.32352941,"Bedwell-Ivers",2017,"Acropora cervicornis","ACER","Little Cayman","Little Cayman",NA,"5 d","28 d",0.576470588,5,30,487,9.594117647,0.576470588,5,791,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bedwell-Ivers 2017",28,"ND","N",304,NA,"BW",800,NA,NA,-2.70810999946332,0.780947065262416,1.28902742179727,1.28902742179727,NA,NA,0.815252523858793,NA,NA,-2.12132034233303,NA,NA,NA
"2",0.061611374,"Bove",2019,"Porites astreoides","PAST","Belize","Inshore","23 d","50 d","93 d",0.274881517,6,28,405,-0.109004739,0.208530806,5,701,0.213270142,0.132701422,4,31,0.023696682,0.056872038,5,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,0.634294066194585,0.390535217806473,-0.63909630515438,0.384006202714945,0.67331945637218,0.466289057618821,0.265402844,0.127169742986951,0.345028905222781,0.305236819189696,0.280703183263914,-0.494498027316973,0.49685607523563,-0.0337676024538996,0.816695172941054
"3",0.095238095,"Bove",2019,"Porites astreoides","PAST","Belize","Offshore","23 d","50 d","93 d",0.142857143,6,28,405,-0.228571429,0.161904762,5,701,-0.114285714,0.104761905,4,31,-0.066666667,0.180952381,4,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,-1.50988779253365,0.518365463741135,-1.93820228299984,0.565123467463687,0.34992710646181,0.362030053712925,0.20952381,0.361904762,0.215919696332685,0.177153097758271,0.230547017971805,-1.49967571045987,-1.18272732258907,0.805537573783376,0.883742739897635
"4",0.125,"Bove",2019,"Undaria tenuifolia","UTEN","Belize","Offshore","23 d","50 d","93 d",0.022222222,2,28,405,-0.041666667,0.016666667,1,701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bove 2019",93,"3","N",296,3,"BW",300,NA,NA,NA,NA,0.0314269677384658,0.016666667,NA,NA,0.0277777778,NA,NA,-6.0000000072,NA,NA,NA
"11",0.283333333,"Bove",2019,"Undaria tenuifolia","UTEN","Belize","Inshore","23 d","50 d","93 d",0.080555556,5,28,405,0.086111111,0.030555556,3,701,NA,NA,NA,NA,NA,NA,NA,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,NA,NA,-2.81202369404956,1.01828018793522,0.180127699181291,0.0529237754455161,NA,NA,0.0861559029024609,NA,NA,-2.28913185696957,NA,NA,NA
"18",0.444897959,"Bove",2019,"Pseudodiploria strigosa","PSTR","Belize","Offshore","23 d","50 d","93 d",0.53877551,3,28,405,0.555102041,0.208163265,8,701,-0.191836735,0.097959184,3,31,-0.351020408,0.257142857,3,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,-1.31202891204392,0.893619109934797,0.246592149773775,0.767356490389485,0.933186557193834,0.588774625101729,0.169670283755988,0.445384493127418,0.577590681253793,0.547608484143285,0.596993717790969,0.190799619136474,-1.16275534882581,-0.225620259453319,1.12649719121988
"21",0.763265306,"Bove",2019,"Pseudodiploria strigosa","PSTR","Belize","Inshore","23 d","50 d","93 d",0.624489796,2,28,405,0.432653061,0.281632653,6,701,-0.33877551,0.502040816,3,31,-0.020408163,0.146938776,2,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,-1.40745165770079,1.07295614150717,-0.592843089534636,1.39731086321633,0.883161939066807,0.689856294756314,0.869560200785338,0.207802809857702,0.685057995022275,0.801269296952072,0.64154384822902,-0.482604753761395,-1.37536883066907,0.505795195286734,1.5098395684452
"27",1.231213873,"Bove",2019,"Siderastrea siderea","SSID","Belize","Inshore","23 d","50 d","93 d",0.338150289,6,28,405,0.910404624,0.095375723,5,701,1.187861272,0.199421965,6,31,0.971098266,0.112716763,5,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,-0.144108652421816,0.341674937029577,-1.18009478583026,0.440808246955724,0.828295664424667,0.21326660003119,0.488482057753166,0.252042344271733,0.351343345587413,0.392574500031834,0.356441701561394,-0.913093283334105,-0.110431525726925,0.145951276946869,0.733817464588843
"31",1.51734104,"Bove",2019,"Siderastrea siderea","SSID","Belize","Offshore","23 d","50 d","93 d",0.216763006,6,28,405,1.222543353,0.225433526,6,701,1.12716763,0.424855491,5,31,1.13583815,0.268786127,6,31,673,"Bove 2019",93,"3","N",296,3,"BW",300,-1.05725511509458,0.477782869998235,-1.23009103094799,0.405100958150048,0.530958759811848,0.552197109616445,0.95000575849005,0.658388861088917,0.31274026829775,0.47695742892108,0.345300134430637,-0.942627850914716,-0.818046614521986,0.439426714241491,0.704197735591067
"36",2.455792683,"Castillo",2014,"Siderastrea siderea","SSID","Belize","Nearshore","30 d","15 d","95 d",0.202992782,18,28.16,477,NA,NA,NA,NA,0.580792683,0.207659283,18,32.01,NA,NA,NA,NA,NA,"Castillo 2014",95,"3","A",232,4,"BW",250,-8.92806045701388,1.23367588953932,NA,NA,0.861225436104735,NA,0.881023723113818,NA,NA,0.290393607643442,NA,NA,-6.45675369790579,NA,NA
"37",2.464939024,"Castillo",2014,"Siderastrea siderea","SSID","Belize","Backreeef","30 d","15 d","95 d",0.209992534,18,28.16,477,NA,NA,NA,NA,0.407012195,0.198326282,18,32.01,NA,NA,NA,NA,NA,"Castillo 2014",95,"3","A",232,4,"BW",250,-9.85170151711071,1.48140520377911,NA,NA,0.89092286873968,NA,0.841427153338293,NA,NA,0.288842826581663,NA,NA,-7.12472888232927,NA,NA
"38",2.472972973,"Castillo",2014,"Siderastrea siderea","SSID","Belize","Nearshore","30 d","15 d","95 d",0.26889134,18,28.16,477,2.409266409,0.267413915,18,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Castillo 2014",95,"3","A",232,4,"BW",250,NA,NA,-0.232288859741399,0.113228655819398,1.14080933949803,1.13454115608086,NA,NA,0.379226521570713,NA,NA,-0.167990792775079,NA,NA,NA
"39",2.496138996,"Castillo",2014,"Siderastrea siderea","SSID","Belize","Backreeef","30 d","15 d","95 d",0.26593649,18,28.16,477,2.55984556,0.267413915,18,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Castillo 2014",95,"3","A",232,4,"BW",250,NA,NA,0.233575768832477,0.113237084915687,1.12827297266369,1.13454115608086,NA,NA,0.377137135070451,NA,NA,0.168921482601015,NA,NA,NA
"40",2.515243902,"Castillo",2014,"Siderastrea siderea","SSID","Belize","Forereef","30 d","15 d","95 d",0.198326282,18,28.16,477,NA,NA,NA,NA,0.461890244,0.209992534,18,32.01,NA,NA,NA,NA,NA,"Castillo 2014",95,"3","A",232,4,"BW",250,-9.82980884578546,1.47532780735153,NA,NA,0.841427153338293,NA,0.89092286873968,NA,NA,0.288842826581663,NA,NA,-7.10889615054873,NA,NA
"41",2.516409266,"Castillo",2014,"Siderastrea siderea","SSID","Belize","Forereef","30 d","15 d","95 d",0.264459065,18,28.16,477,2.6003861,0.267413915,18,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Castillo 2014",95,"3","A",232,4,"BW",250,NA,NA,0.308747015145224,0.11381036124261,1.12200478924652,1.13454115608086,NA,NA,0.376096794716867,NA,NA,0.22328516270185,NA,NA,NA
"44",27.84,"Enochs",2014,"Acropora cervicornis","ACER","Florida Keys","Dade County","7 d","9 d","42 d",3.02,16,28,513,21.6,1.55,16,870.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Enochs 2014",42,"ND","N",357.9,NA,"BW",178,NA,NA,-2.53404244843235,0.262936409170727,12.08,6.2,NA,NA,3.39453973315971,NA,NA,-1.83824626916111,NA,NA,NA
"15",0.377308707,"Grottoli",2014,"Orbicella faveolata","OFAV","Mexico","Puerto Morelos","5 d","7 d","15 d",0.105540897,9,30.6,NA,NA,NA,NA,NA,0.364116095,0.105540897,9,31.6,NA,NA,NA,NA,NA,"Grottoli 2014",15,"ND","N",NA,1,"BW",600,-0.119031728222719,0.227098337232405,NA,NA,0.316622691,NA,0.316622691,NA,NA,0.149257367922422,NA,NA,-0.0883883468108392,NA,NA
"28",1.254617414,"Grottoli",2014,"Porites divaricata","PDIV","Mexico","Puerto Morelos","5 d","7 d","15 d",0.15171504,9,30.6,NA,NA,NA,NA,NA,0.964379947,0.125329815,9,31.6,NA,NA,NA,NA,NA,"Grottoli 2014",15,"ND","N",NA,1,"BW",600,-1.9862110831843,0.342471015007632,NA,NA,0.45514512,NA,0.375989445,NA,NA,0.196786726915551,NA,NA,-1.47488334985393,NA,NA
"33",1.762532982,"Grottoli",2014,"Porites astreoides","PAST","Mexico","Puerto Morelos","5 d","7 d","15 d",0.290237467,9,30.6,NA,NA,NA,NA,NA,1.122691293,0.164907652,9,31.6,NA,NA,NA,NA,NA,"Grottoli 2014",15,"ND","N",NA,1,"BW",600,-2.58127736549861,0.464984646928835,NA,NA,0.870712401,NA,0.494722956,NA,NA,0.333814800359015,NA,NA,-1.9167565018443,NA,NA
"32",1.692245557,"Horvath",2016,"Siderastrea siderea","SSID","Belize","Forereef","30 d","14 d","60 d",0.254442649,18,28,426,0.990484429,0.168685121,18,888,0.647249191,0.088996764,18,32,0.235191638,0.043554007,18,32,940,"Horvath 2016",60,"2","A",464,3,"BW",250,-5.3605030334797,0.763485101219025,-3.17858770692495,0.276044874939831,1.07950873518581,0.71567035766624,0.377581291968353,0.184784002185278,0.305279759690881,0.269557944851583,0.258143396498716,-2.29874764285253,-3.87670401098869,0.561129161019312,0.224408791217682
"34",1.797253635,"Horvath",2016,"Siderastrea siderea","SSID","Belize","Nearshore","30 d","14 d","60 d",0.387722132,18,28,426,1.570069204,0.155709343,18,888,0.792880259,0.153721683,18,32,0.300522648,0.052264808,18,32,940,"Horvath 2016",60,"2","A",464,3,"BW",250,-3.32977496329654,0.351029598876047,-0.75185115625445,0.124562577474579,1.64496569251983,0.660618793976412,0.652185866788253,0.221740800925278,0.417820357498431,0.417083693599951,0.391228912272473,-0.543737103572922,-2.40808593433852,-0.338897729285559,0.223019803270242
"35",1.845718901,"Horvath",2016,"Siderastrea siderea","SSID","Belize","Backreef","30 d","14 d","60 d",0.250403877,18,28,426,1.310553633,0.190311419,18,888,0.67961165,0.109223301,18,32,0.243902439,0.052264808,18,32,940,"Horvath 2016",60,"2","A",464,3,"BW",250,-5.902273768776,0.828901719635239,-2.35281395947296,0.195873920700174,1.06237367677261,0.807422969472806,0.463395220804076,0.221740800925278,0.314516355406877,0.273188270425302,0.25580014028907,-1.70154988381345,-4.26851141589862,0.194401881264819,0.222484667301662
"45",396.5957447,"Jury",2010,"Madracis auretenra","MAUR","Curacao","Seaquarium","50 d","3 h","2 h",10.21276596,6,28,391,420.4255319,35.74468085,6,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jury 2010",0.083,"2","N",1089,NA,"O",200,NA,NA,0.83649977822284,0.391848733689108,25.0160654644652,87.5562291011333,NA,NA,37.1750292215365,NA,NA,0.641015964183688,NA,NA,NA
"24",1.0235,"Kenkel",2013,"Porites astreoides","PAST","Florida Keys","Inshore, Sugarloaf Key","10 d",NA,"43 d",0.183230034,15,27.2,NA,NA,NA,NA,NA,0.5307,0.14262351,15,30.9,NA,NA,NA,NA,NA,"Kenkel 2013",43,"ND","N",NA,3.7,"BW",NA,-2.92021343969463,0.288057507365322,NA,NA,0.709646870207019,NA,0.552378479007647,NA,NA,0.232195415468009,NA,NA,-2.12235025832324,NA,NA
"26",1.1878,"Kenkel",2013,"Porites astreoides","PAST","Florida Keys","Offshore, Sugarloaf Key","10 d",NA,"43 d",0.418396175,15,27.2,NA,NA,NA,NA,NA,0.1298,0.322150956,15,30.9,NA,NA,NA,NA,NA,"Kenkel 2013",43,"ND","N",NA,3.7,"BW",NA,-2.75681940522198,0.272089536301328,NA,NA,1.62044141789188,NA,1.2476852875528,NA,NA,0.528049806084942,NA,NA,-2.00359887989394,NA,NA
"1",-0.1854,"Okazaki",2017,"Porites divaricata","PDIV","Florida Keys","Florida Bay","4 w","10 d","6 w",0.365672394,5,27,400,-0.0355,0.393704022,8,1340,-0.069,0.352397503,7,30.3,-0.003,0.25077347,7,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,0.299105253719472,0.361428873549512,0.366896028315637,0.338439242807699,0.817668330479086,1.11356313494647,0.932356155578138,0.663484237032717,0.537325931509608,0.507838852249733,0.443400082306637,0.278974066222448,0.229206567170563,-0.0946098155457472,0.610880045292019
"5",0.13925,"Okazaki",2017,"Porites astreoides","PAST","Florida Keys","Key West","4 w","10 d","6 w",0.140552185,4,27,400,0.05025,0.086473021,4,1340,-0.150444444,0.302187901,9,30.3,NA,NA,NA,NA,NA,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,-1.14318411067361,0.334000252609071,-0.662513018013798,0.536215259297135,0.28110437,0.172946042,0.906563703,NA,0.165022725917192,0.33327532794832,NA,-0.539319657370464,-0.869234592861678,NA,NA
"6",0.152,"Okazaki",2017,"Montastraea cavernosa","MCAV","Florida Keys","Key West","4 w","10 d","6 w",0.355014554,4,27,400,0.33875,0.213482825,4,1340,0.244222222,0.23531669,9,30.3,NA,NA,NA,NA,NA,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,0.284763952447424,0.472607784137509,0.553779869648843,0.526529288517826,0.710029108,0.42696565,0.70595007,NA,0.414258675373008,0.425921680763465,NA,0.450805284480393,0.216523896681408,NA,NA
"7",0.1676,"Okazaki",2017,"Porites divaricata","PDIV","Florida Keys","Key West","4 w","10 d","6 w",0.52508636,15,27,400,0.080727273,0.373414807,11,1340,0.755916667,1.121314688,12,30.3,0.272,0.951548976,12,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,0.651567281157587,0.17702504488257,-0.184643009089722,0.152643105004255,2.03365072760067,1.23847680598198,3.88434802177849,3.29626234464428,0.644324687983393,1.23816893636635,1.08681237533656,-0.13482756228369,0.475150562835577,-0.182664436387672,0.324576087205632
"8",0.192238095,"Okazaki",2017,"Porites astreoides","PAST","Florida Keys","Key Biscayne","4 w","10 d","6 w",0.216892578,21,27,400,0.040428571,0.224921002,21,1340,0.027952381,0.268301598,21,30.3,-0.04645,0.246218661,20,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,-0.660706609536376,0.101741258443426,-0.674119571683619,0.101733239570999,0.993926656359114,1.03071751705031,1.22951238191261,1.10112332664995,0.312460953612079,0.345004547623419,0.328125005776943,-0.48585118314806,-0.476184198532137,0.117953739637601,0.192940956620363
"9",0.255933333,"Okazaki",2017,"Siderastrea radians","SRAD","Florida Keys","Key West","4 w","10 d","6 w",0.170234069,15,27,400,0.092071429,0.169450453,14,1340,0.239,0.322177209,14,30.3,0.244307692,0.298296101,13,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,-0.0638740768427933,0.143158581820209,-0.937693681827965,0.155510168941718,0.659313714194124,0.634025539159641,1.20547673390506,1.07552188742648,0.240193868094508,0.364386871672576,0.343453347807383,-0.682206857735127,-0.0464707548937593,0.246277401399614,0.286988427147245
"10",0.278111111,"Okazaki",2017,"Siderastrea radians","SRAD","Florida Keys","Florida Bay","4 w","10 d","6 w",0.278428377,9,27,400,0.277777778,0.263882918,9,1340,0.540181818,0.423023833,11,30.3,0.3745,0.437981291,10,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,0.700840344171687,0.210814464848178,-0.00117018959504759,0.226696880389631,0.835285131,0.791648754,1.40301133143896,1.38501845210101,0.383609900199472,0.506430177225712,0.518989375984596,-0.000868937427909754,0.517486356037581,-0.159298525799599,0.413456646725184
"12",0.296,"Okazaki",2017,"Acropora cervicornis","ACER","Florida Keys","Biscayne National Park","4 w","10 d","6 w",0.140159433,4,27,400,0.252333333,0.181323652,6,1340,0.396666667,0.669825599,3,30.3,NA,NA,NA,NA,NA,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,0.174903984620467,0.701942869138785,-0.243240339866422,0.410237167491323,0.280318866,0.444150425697986,1.16017196967826,NA,0.229178824138485,0.684332521318832,NA,-0.190535347950008,0.147101977275604,NA,NA
"13",0.3668,"Okazaki",2017,"Dichocoenia stokesii","DSTO","Florida Keys","Key Biscayne","4 w","10 d","6 w",0.367689679,5,27,400,0.5572,0.53682744,5,1340,-0.147692308,0.235280111,13,30.3,NA,NA,NA,NA,NA,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,-1.58722818854426,0.517362003761761,0.373561513622633,0.415471789588341,0.822179116869077,1.20038264802719,0.848314504307359,NA,0.650676110196215,0.43652311585447,NA,0.292618703862639,-1.17861411987979,NA,NA
"14",0.376571429,"Okazaki",2017,"Pseudodiploria strigosa","PSTR","Florida Keys","Key West","4 w","10 d","6 w",0.400094513,7,27,400,0.126428571,0.607082053,7,1340,0.194571429,0.59801724,7,30.3,0.282142857,0.456571071,7,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,-0.334808178031169,0.296682921437106,-0.455384687798788,0.300741978489129,1.0585505823195,1.60618813764853,1.58220489676923,1.20797350969241,0.727065498017477,0.719513890532994,0.607068992954503,-0.344044461856705,-0.252948556511091,0.278151486832165,0.572810147314767
"16",0.3999,"Okazaki",2017,"Montastraea cavernosa","MCAV","Florida Keys","Key Biscayne","4 w","10 d","6 w",0.216417457,20,27,400,0.26735,0.166050809,20,1340,0.31315,0.231647708,20,30.3,0.12,0.144615643,20,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,-0.379299744390981,0.102944351169276,-0.673528326339157,0.107235689000629,0.967848290739275,0.742601793285668,1.03596004384004,0.646740816715683,0.272780840353389,0.317012896135157,0.260288685683128,-0.485921224629562,-0.273648173489492,-0.116409208953811,0.200084694399558
"17",0.421375,"Okazaki",2017,"Solenastrea hyades","SHYA","Florida Keys","Florida Bay","4 w","10 d","6 w",0.265561393,24,27,400,0.454173913,0.288676392,23,1340,0.818869565,0.388787662,23,30.3,0.679304348,0.398177488,23,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,1.17391572860603,0.103677706587475,0.116270262556363,0.0862799691927496,1.30097981646542,1.38444334078978,1.86456012529465,1.90959214882387,0.392245985002062,0.470827675031456,0.47861066160512,0.0836182249254318,0.844246390090479,-0.180067165054307,0.172275772844882
"19",0.6825,"Okazaki",2017,"Dichocoenia stokesii","DSTO","Florida Keys","Key West","4 w","10 d","6 w",0.121848266,4,27,400,0.6564,0.43250237,5,1340,0.440125,0.485572545,8,30.3,NA,NA,NA,NA,NA,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,-0.631786403766817,0.284173059246493,-0.0729615137984598,0.40457518808435,0.243696532,0.967104699749766,1.37340655731004,NA,0.449338736348007,0.500627302876085,NA,-0.0580853549643356,-0.484142591919307,NA,NA
"22",0.784,"Okazaki",2017,"Siderastrea siderea","SSID","Florida Keys","Key Biscayne","4 w","10 d","6 w",0.391211452,6,27,400,0.9004,0.494599636,5,1340,0.886,0.492925146,11,30.3,NA,NA,NA,NA,NA,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,0.217533134239402,0.251172030205361,0.238556068871224,0.38839410286792,0.958268438933314,1.10595840774265,1.63484775901315,NA,0.63061493806227,0.629302470784177,NA,0.184581735976108,0.162084219807523,NA,NA
"23",1.013125,"Okazaki",2017,"Siderastrea siderea","SSID","Florida Keys","Key West","4 w","10 d","6 w",0.642598462,16,27,400,0.865263158,0.480595099,19,1340,0.910777778,0.565312881,18,30.3,0.803166667,0.590982955,18,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,-0.165115537130268,0.120997520180144,-0.254616209106185,0.120748541758734,2.570393848,2.09486546930193,2.39841942988322,2.50732833027699,0.802436559827371,0.855868819848746,0.873037018954693,-0.184266083329765,-0.11958283749382,0.0230521330287879,0.226246432317896
"25",1.183181818,"Okazaki",2017,"Orbicella faveolata","OFAV","Florida Keys","Key West","4 w","10 d","6 w",0.430928415,22,27,400,0.873045455,0.799292156,22,1340,0.985142857,0.787702564,21,30.3,1.141681818,0.751088631,22,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,-0.306178776547172,0.0967440526389626,-0.474322859121252,0.0952067760357103,2.02123342907173,3.74901252520565,3.6097066246408,3.5229179518666,0.908056853670265,0.897872278326147,0.865929229482333,-0.341538485995082,-0.220564734852036,0.269465048707841,0.184399990950932
"30",1.512,"Okazaki",2017,"Agaricia agaricites","AAGA","Florida Keys","Key West","4 w","10 d","6 w",0.524950712,9,27,400,1.076222222,0.538521536,9,1340,1.839111111,0.691075691,9,30.3,1.157555556,1.352049011,9,30.9,1290,"Okazaki 2017",42,"2","N",940,3.3,"BW",327,0.507597797827826,0.234523317184495,-0.780344345161209,0.243963597582097,1.574852136,1.615564608,2.073227073,4.056147033,0.752049662432679,0.867847256560989,1.45038263164428,-0.579453458685662,0.376922446348728,-0.0847285990736683,0.444544151881958
"29",1.3,"Towle",2015,"Acropora cervicornis","ACER","Florida Keys","South Florida","4 w",NA,"8 w",0.1,10,26,390,1.331034483,0.089655172,10,800,1.410344828,0.089655172,10,30,1.210344828,0.089655172,10,30,800,"Towle 2015",56,"2","N",410,4,"BW",353,1.11269818831085,0.235710238699295,0.312946366722904,0.206321423736326,0.316227766016838,0.283514547534154,0.283514547534154,0.283514547534154,0.13430580726964,0.13430580726964,0.13430580726964,0.231073276955876,0.821593870311696,-0.860106080655777,0.409247280874763
